Color,Deck,Qty,Card
Black,Better Off Dead,1,Graf Rats
Black,Better Off Dead,1,Midnight Scavengers
Black,Better Off Dead,1,Defiant Salvager
Black,Better Off Dead,1,Soulcage Fiend
Black,Better Off Dead,1,Undead Excutioner
Black,Better Off Dead,1,Gavony Unhallowed
Black,Better Off Dead,1,Sultai Emissary
Black,Better Off Dead,1,Lawless Broker
Black,Better Off Dead,1,Swat
Black,Better Off Dead,1,Succumb to Temptation
Black,Better Off Dead,1,Infernal Scarring
Black,Better Off Dead,1,Tendrils of Corruption
Black,Better Off Dead,7,Swamp
Black,Better Off Dead,1,Thriving Moor
