Color,Deck,Qty,Card
Black,Black Devotion,1,Carrion Imp
Black,Black Devotion,1,Vicious Hunger
Black,Black Devotion,1,Bloodborn Scoundrels
Black,Black Devotion,1,Recover
Black,Black Devotion,1,Blight-Breath Catoblepas
Black,Black Devotion,1,Gray Merchant of Asphodel
Black,Black Devotion,1,Disciple of Phenax
Black,Black Devotion,1,Bloodhunter Bat
Black,Black Devotion,1,Lost Legion
Black,Black Devotion,1,Misery Charm
Black,Black Devotion,1,Macabre Waltz
Black,Black Devotion,1,Marshmist Titan
Black,Black Devotion,7,Swamp
Black,Black Devotion,1,Thriving Moor
