Color,Deck,Qty,Card
Black,Black Enchantment Creatures,1,Carrion Imp
Black,Black Enchantment Creatures,1,Vicious Hunger
Black,Black Enchantment Creatures,1,Bloodborn Scoundrels
Black,Black Enchantment Creatures,1,Recover
Black,Black Enchantment Creatures,1,Blight-Breath Catoblepas
Black,Black Enchantment Creatures,1,Gray Merchant of Asphodel
Black,Black Enchantment Creatures,1,Disciple of Phenax
Black,Black Enchantment Creatures,1,Bloodhunter Bat
Black,Black Enchantment Creatures,1,Lost Legion
Black,Black Enchantment Creatures,1,Misery Charm
Black,Black Enchantment Creatures,1,Macabre Waltz
Black,Black Enchantment Creatures,1,Marshmist Titan
Black,Black Enchantment Creatures,7,Swamp
Black,Black Enchantment Creatures,1,Thriving Moor
