Color,Deck,Qty,Card
Black,Shades of Black,1,Sign in Blood
Black,Shades of Black,1,Unmake
Black,Shades of Black,1,Death Wind
Black,Shades of Black,1,Cursed Ronin
Black,Shades of Black,1,Midnight Covenant
Black,Shades of Black,1,Order of the Ebon Hand
Black,Shades of Black,1,Liliana’s Shade
Black,Shades of Black,1,Bog Initiate
Black,Shades of Black,1,Shade’s Form
Black,Shades of Black,1,Soul Burn
Black,Shades of Black,1,Drudge Skeletons
Black,Shades of Black,1,Phyrexian Battleflies
Black,Shades of Black,7,Swamp
Black,Shades of Black,1,Thriving Moor
