Color,Deck,Qty,Card
Colorless,Eldrazi,1,Prophetic Prism
Colorless,Eldrazi,1,Maelstrom Colossus
Colorless,Eldrazi,1,Eldrazi Devastator
Colorless,Eldrazi,1,Ulamog's Crusher
Colorless,Eldrazi,1,Kozilek's Pathfinder
Colorless,Eldrazi,1,Hedron Crawler
Colorless,Eldrazi,1,Runed Servitor
Colorless,Eldrazi,1,Kitesail
Colorless,Eldrazi,1,Howling Golem
Colorless,Eldrazi,1,Warden of Geometries
Colorless,Eldrazi,1,Kozilek's Channeler
Colorless,Eldrazi,1,Scour from Existence
Colorless,Eldrazi,1,Bant Panorama
Colorless,Eldrazi,1,Grixis Panorama
Colorless,Eldrazi,1,Naya Panorama
Colorless,Eldrazi,1,Jund Panorama
Colorless,Eldrazi,1,Holdout Settlement
Colorless,Eldrazi,1,Crumbling Vestige
Colorless,Eldrazi,1,Esper Panorama
Colorless,Eldrazi,1,Warped Landscape
