Color,Deck,Qty,Card
Black,Black Elves,1,Eyeblight Cullers
Black,Black Elves,1,Briarblade Adept
Black,Black Elves,1,Exquisite Huntmaster
Black,Black Elves,1,Eyeblight Assassin
Black,Black Elves,1,Eyeblight Massacre
Black,Black Elves,1,Scarred Vinebreeder
Black,Black Elves,1,Blightsoil Druid
Black,Black Elves,1,Plague Witch
Black,Black Elves,1,Thornbow Archer
Black,Black Elves,1,Skulltap
Black,Black Elves,1,Grim Affliction
Black,Black Elves,1,Eyeblight's Ending
Black,Black Elves,7,Swamp
Black,Black Elves,1,Thriving Moor
