Color,Deck,Qty,Card
Black,Vampires,1,Epicure of Blood
Black,Vampires,1,Stromkirk Mentor
Black,Vampires,1,Vampire Opportunist
Black,Vampires,1,Blood Burglar
Black,Vampires,1,Driver of the Dead
Black,Vampires,1,Rabid Bloodsucker
Black,Vampires,1,Kalastria Nightwatch
Black,Vampires,1,Chosen of Markov // Markov's Servant
Black,Vampires,1,Umezawa’s Charm
Black,Vampires,1,Vampire Neonate
Black,Vampires,1,Victim of Night
Black,Vampires,1,Child of Night
Black,Vampires,7,Swamp
Black,Vampires,1,Thriving Moor
