Color,Deck,Qty,Card
Green,Arachnophobia,1,Mammoth Spider
Green,Arachnophobia,1,Rancor
Green,Arachnophobia,1,Bronze Sword
Green,Arachnophobia,1,Sentinel Spider
Green,Arachnophobia,1,Deadly Recluse
Green,Arachnophobia,1,Woolly Spider
Green,Arachnophobia,1,Snarespinner
Green,Arachnophobia,1,Netcaster Spider
Green,Arachnophobia,1,Root Spider
Green,Arachnophobia,1,Feral Invocation
Green,Arachnophobia,1,Pincer Spider
Green,Arachnophobia,1,Cartouche of Strength
Green,Arachnophobia,7,Forest
Green,Arachnophobia,1,Thriving Grove
