Color,Deck,Qty,Card
Green,Hexproof and Heroic,1,Wildsize
Green,Hexproof and Heroic,1,Dragon Fangs
Green,Hexproof and Heroic,1,Setessan Training
Green,Hexproof and Heroic,1,Forced Adaptation
Green,Hexproof and Heroic,1,Warbriar Blessing
Green,Hexproof and Heroic,1,Primal Huntbeast
Green,Hexproof and Heroic,1,Sacred Wolf
Green,Hexproof and Heroic,1,Staunch-Hearted Warrior
Green,Hexproof and Heroic,1,Rubbleback Rhino
Green,Hexproof and Heroic,1,Leafcrown Dryad
Green,Hexproof and Heroic,1,Wardscale Crocodile
Green,Hexproof and Heroic,1,Scythe Tiger
Green,Hexproof and Heroic,7,Forest
Green,Hexproof and Heroic,1,Thriving Grove
