Color,Deck,Qty,Card
Green,UNexpected,1,Mother Kangaroo
Green,UNexpected,1,Ground Pounder
Green,UNexpected,1,Mad Science Fair Project
Green,UNexpected,1,Voracious Vacuum
Green,UNexpected,1,Elvish Impersonators
Green,UNexpected,1,Eager Beaver
Green,UNexpected,1,Free-Range Chicken
Green,UNexpected,1,Really Epic Punch
Green,UNexpected,1,Multi-Headed
Green,UNexpected,1,Growth Spurt
Green,UNexpected,1,Willing Test Subject
Green,UNexpected,1,Selfie Preservation
Green,UNexpected,7,Forest
Green,UNexpected,1,Thriving Grove
