Color,Deck,Qty,Card
Blue,Awesome Hats,1,Prosperous Pirates
Blue,Awesome Hats,1,Prodigal Sorcerer
Blue,Awesome Hats,1,Horned Helm
Blue,Awesome Hats,1,Pirate’s Prize
Blue,Awesome Hats,1,Freed from the Real
Blue,Awesome Hats,1,Proven Combatant
Blue,Awesome Hats,1,Hisoka’s Guard
Blue,Awesome Hats,1,Dreamscape Artist
Blue,Awesome Hats,1,Kitesail Corsair
Blue,Awesome Hats,1,Opt
Blue,Awesome Hats,1,Fall from Favor
Blue,Awesome Hats,1,Counterspell
Blue,Awesome Hats,7,Island
Blue,Awesome Hats,1,Thriving Isle
