Color,Deck,Qty,Card
White,White Artifacts,1,Flayer Husk
White,White Artifacts,1,Necropouncer
White,White Artifacts,1,Sickleslicer
White,White Artifacts,1,Hovermyr
White,White Artifacts,1,Court Homunculus
White,White Artifacts,1,Myr Adapter
White,White Artifacts,1,Gingerbrute
White,White Artifacts,1,Titanium Golem
White,White Artifacts,1,Armory of Iroas
White,White Artifacts,1,Short Sword
White,White Artifacts,1,Leonin Scimitar
White,White Artifacts,1,Honed Khopesh
White,White Artifacts,6,Plains
White,White Artifacts,1,Thriving Heath
White,White Artifacts,1,Stalking Stones
