Color,Deck,Qty,Card
Green,+1/+1 Counters,1,Tuinvale Treefolk // Oaken Boon
Green,+1/+1 Counters,1,Servant of the Scale
Green,+1/+1 Counters,1,Drudge Beetle
Green,+1/+1 Counters,1,Korozda Monitor
Green,+1/+1 Counters,1,Saddleback Lagac
Green,+1/+1 Counters,1,Guardian Shield-Bearer
Green,+1/+1 Counters,1,Bloom Hulk
Green,+1/+1 Counters,1,Scrounging Bandar
Green,+1/+1 Counters,1,Thrashing Mossdog
Green,+1/+1 Counters,1,Mutant's Prey
Green,+1/+1 Counters,1,Courage in Crisis
Green,+1/+1 Counters,1,Titanic Brawl
Green,+1/+1 Counters,7,Forest
Green,+1/+1 Counters,1,Thriving Grove
