Color,Deck,Qty,Card
Green,Green Elves,1,Entourage of Trest
Green,Green Elves,1,Tajaru Pathwarden
Green,Green Elves,1,Defiant Elf
Green,Green Elves,1,Patron of the Wild
Green,Green Elves,1,Greenwood Sentinel
Green,Green Elves,1,Llanowar Empath
Green,Green Elves,1,Treetop Ambusher
Green,Green Elves,1,Elvish Visionary
Green,Green Elves,1,Timberwatch Elf
Green,Green Elves,1,Aspect of Hydra
Green,Green Elves,1,Vines of Vastwood
Green,Green Elves,1,Giant Growth
Green,Green Elves,7,Forest
Green,Green Elves,1,Thriving Grove
