Color,Deck,Qty,Card
Green,Humans,1,Sauroform Hybrid
Green,Humans,1,Joint Assault
Green,Humans,1,True-Faith Censer
Green,Humans,1,Equestrian Skill
Green,Humans,1,Trusted Forcemage
Green,Humans,1,Atarka Beastbreaker
Green,Humans,1,Rhonas's Stalwart
Green,Humans,1,Byway Courier
Green,Humans,1,Nightshade Peddler
Green,Humans,1,Solitary Hunter // One of the Pack
Green,Humans,1,Scorned Villager // Moonscarred Werewolf
Green,Humans,1,Hinterland Logger // Timber Shredder
Green,Humans,7,Forest
Green,Humans,1,Thriving Grove
