Color,Deck,Qty,Card
Green,Wolves & Bears,1,Monstrous Growth
Green,Wolves & Bears,1,Grizzly Bears
Green,Wolves & Bears,1,Arlinn’s Wolf
Green,Wolves & Bears,1,Ashcoat Bear
Green,Wolves & Bears,1,Lone Wolf
Green,Wolves & Bears,1,Savage Punch
Green,Wolves & Bears,1,Werebear
Green,Wolves & Bears,1,Predator’s Strike
Green,Wolves & Bears,1,Nyxborn Wolf
Green,Wolves & Bears,1,Darkthicket Wolf
Green,Wolves & Bears,1,Wolfkin Bond
Green,Wolves & Bears,1,Alpine Grizzly
Green,Wolves & Bears,7,Forest
Green,Wolves & Bears,1,Thriving Grove
