Color,Deck,Qty,Card
Blue,Blue Energy,1,Ghostly Flicker
Blue,Blue Energy,1,Glassblower's Puzzleknot
Blue,Blue Energy,1,Mana Leak
Blue,Blue Energy,1,Run Away Together
Blue,Blue Energy,1,Kiora's Dambreaker
Blue,Blue Energy,1,Reservoir Walker
Blue,Blue Energy,1,Hightide Hermit
Blue,Blue Energy,1,Shipwreck Moray
Blue,Blue Energy,1,Thriving Turtle
Blue,Blue Energy,1,Aether Swooper
Blue,Blue Energy,1,Consulate Turret
Blue,Blue Energy,1,Silent Departure
Blue,Blue Energy,7,Island
Blue,Blue Energy,1,Thriving Isle
