Color,Deck,Qty,Card
White,White Birds,1,Eagle of the Watch
White,White Birds,1,Abzan Skycaptain
White,White Birds,1,War Sreecher
White,White Birds,1,Healer's Hawk
White,White Birds,1,Stalwart Aven
White,White Birds,1,Aven Liberator
White,White Birds,1,Second Thoughts
White,White Birds,1,Wingbeat Warrior
White,White Birds,1,Aven Redeemer
White,White Birds,1,Gustcloak Harrier
White,White Birds,1,Astral Steel
White,White Birds,1,Brave the Elements
White,White Birds,7,Plains
White,White Birds,1,Thriving Heath
